name, family,day,month, year,gnder,city,usrename, password
fatmh,ghazi ,17,3,1378,female,tehran, fatmhid, fat1778
nima,kohandani,15,5,1367,male,esfehan,mnaima,rhfurf
siamak,golshiri,10,9,1359,male,qom,saimak,ufeil
sina,shahmoradi,25,5,1375,male,qom,sana,reufre
saeid,tashakori,23,11,1357,male,mashhad,saeid,ruhfu
ali,masroor,10,12,1367,male,esfehan,aliali,orjrjfeji
elnaz,dadkhah,19,1,1383,female,mashhad,elnaz,ufhuehu
reza,atash,17,5,1372,male,tehran,rezaza,ihjrfhu
mahnam,ebadi,13,3,1380,female,tehran,mahebdi,iuhruhu
masomeh,asa,17,8,1382,female,qom,masomeh,masomehmasome
rga,tgtg,6,6,1367,tgaet,tgte,tujutjk,tujutkji
